boot_y,boot_part,boot_cond_coher,boot_cond_spat,boot_conds
0.351727322542502,1,1,1,1
0.609639560262622,1,2,2,4
0.367459568658887,1,1,2,2
0.288850158758578,1,2,2,4
0.413085109546046,1,1,2,2
0.314284210166988,1,1,1,1
0.320185137846238,1,1,1,1
0.260664045653357,1,1,2,2
0.379849872027989,1,1,2,2
0.333217904246339,1,2,1,3
0.361677719830368,1,1,1,1
0.636890343486812,1,1,2,2
0.328938922423731,1,2,1,3
0.399642967455293,1,1,1,1
0.347291010246408,1,2,2,4
0.25660799054549,1,1,2,2
0.396153752857572,1,2,1,3
0.670721644508376,1,2,2,4
0.346172070096145,1,1,1,1
0.269656724354718,1,1,2,2
0.249117186173862,1,1,1,1
0.538927912176405,1,1,2,2
0.369580161403064,1,2,2,4
0.447499638941736,1,2,1,3
0.884518537730401,1,2,2,4
0.330726237190902,1,2,2,4
0.254455144532585,1,1,2,2
-0.849332126696936,1,2,2,4
0.280827272473289,1,1,1,1
0.438473982989308,1,2,2,4
0.360973576525794,1,2,1,3
0.378574467198632,1,1,2,2
0.391000071527742,1,1,1,1
0.358335296917176,1,1,2,2
0.303674929638873,1,2,2,4
0.441950618712326,1,2,1,3
0.283914614918103,1,2,2,4
0.344034355553958,1,2,2,4
0.412675355693864,1,1,2,2
0.275927972508725,1,2,1,3
0.534814518200619,1,2,2,4
0.356776193186306,1,2,2,4
0.727606116527568,1,1,2,2
0.254027786227198,1,1,1,1
0.417663113308663,1,2,1,3
0.324723695791363,1,1,2,2
0.333630743107278,1,1,1,1
0.414097726360524,1,1,1,1
0.327307089611168,1,2,1,3
0.354904053117025,1,2,1,3
0.54162641165658,1,1,1,1
-0.631904225405378,1,2,1,3
0.241465563278325,1,2,1,3
0.732905360514451,1,1,2,2
0.426045415559202,1,2,1,3
0.284172762980234,1,1,2,2
0.325977973286172,1,1,1,1
0.333957151964569,1,2,2,4
0.335624425059905,1,2,1,3
0.285368281009141,1,1,1,1
