boot_y,boot_part,boot_cond_coher,boot_cond_spat,boot_conds
0.307906234178517,1,1,1,1
0.825217380811409,1,2,2,4
0.217643713263897,1,2,2,4
0.551777383298941,1,1,2,2
0.310365502099557,1,1,1,1
0.396293729746503,1,2,1,3
0.716470008396755,1,2,2,4
0.300120690406402,1,1,2,2
0.269920738921428,1,2,1,3
0.413221075415095,1,2,1,3
0.428081117089278,1,2,2,4
0.303409863473462,1,1,2,2
0.401119091898181,1,1,2,2
0.463301396361203,1,2,2,4
0.280939663504796,1,1,1,1
0.230965266987369,1,1,2,2
0.3140660426061,1,2,1,3
-0.66837455076984,1,2,1,3
-0.837623737521426,1,2,1,3
0.298833651998393,1,1,1,1
0.218711565852573,1,1,1,1
0.443518129062795,1,1,1,1
0.235506179443291,1,1,1,1
0.386357834240698,1,2,1,3
0.28841089224079,1,2,1,3
-0.372250499144684,1,2,2,4
0.427424467734454,1,2,2,4
0.340323871248984,1,2,1,3
0.49412010324977,1,1,1,1
0.349045423728967,1,2,2,4
0.365558406468153,1,2,2,4
0.334906369770579,1,2,1,3
0.318021324211259,1,1,2,2
0.222096977764522,1,2,1,3
1.00823099611262,1,2,2,4
0.263034628518653,1,2,1,3
0.37170158295794,1,1,2,2
0.513148929870113,1,2,2,4
0.206690388430616,1,1,2,2
0.262748763178024,1,1,2,2
0.455821233400457,1,2,2,4
0.410830838128277,1,1,2,2
0.249836855232388,1,2,1,3
0.229837713575762,1,1,1,1
0.409538079925369,1,1,2,2
0.41216187093778,1,1,2,2
0.336503583268495,1,2,1,3
0.486640268698466,1,2,2,4
0.36088408770047,1,2,1,3
0.411393039962604,1,2,2,4
0.485898130928945,1,1,2,2
1.08351094635327,1,1,2,2
0.505012214585804,1,1,2,2
0.322875539107372,1,2,1,3
0.352643368682948,1,1,2,2
0.386676799253109,1,1,2,2
0.379867675944297,1,1,2,2
0.568563470688787,1,1,2,2
0.413362933291864,1,2,2,4
0.253830396516605,1,1,2,2
0.468121230291217,1,2,2,4
0.418194378478802,1,1,1,1
0.387013421241136,1,1,2,2
0.25694442792792,1,1,1,1
0.208461039340364,1,2,1,3
0.365992217695748,1,2,2,4
0.449644529311627,1,1,2,2
0.238786473020809,1,1,2,2
0.400728603328389,1,1,2,2
0.247187356242648,1,1,1,1
0.859205951173863,1,1,2,2
0.3158788941073,1,2,1,3
0.951638702534183,1,1,1,1
0.463535686518298,1,2,1,3
0.423469360286617,1,1,1,1
0.248935583268576,1,2,1,3
0.389493577981739,1,1,1,1
0.559374069352089,1,2,2,4
0.456784515005893,1,1,2,2
0.332083221894209,1,1,1,1
0.576152100761647,1,1,2,2
0.283321506453831,1,2,1,3
0.455774512206517,1,1,2,2
-0.644712001243533,1,1,2,2
0.316820279272179,1,1,2,2
0.57441794308852,1,1,2,2
0.490675172135525,1,2,1,3
0.480503496190067,1,1,1,1
0.327672329653069,1,2,2,4
0.383859963302712,1,2,2,4
0.526961154408127,1,2,1,3
0.846916538018377,1,2,2,4
0.475759472555183,1,2,1,3
0.495017897061189,1,2,2,4
0.218601135748941,1,1,1,1
0.224059685896464,1,1,2,2
0.250189989737009,1,1,1,1
-0.49011435608827,1,2,1,3
0.428698006530794,1,1,2,2
0.441349386409456,1,2,2,4
0.462630568184977,1,2,2,4
0.46364742777223,1,2,1,3
1.02924198662731,1,2,1,3
0.300813452339753,1,2,1,3
1.11675372414902,1,2,2,4
0.241097227802129,1,1,1,1
0.387532598973849,1,2,2,4
0.227808863318387,1,2,1,3
-0.524562199347201,1,2,2,4
0.40599084185942,1,1,1,1
0.801674153319254,1,2,2,4
0.304843024102411,1,2,1,3
1.06344347566392,1,2,2,4
0.287477003264939,1,1,1,1
