condition,response_time,response_corr,n200lat
3,0.392304699,1,0.09921875
4,0.478072469,0,0.150976563
4,0.529506081,0,0.13046875
3,0.531623375,0,0.162695313
1,0.32225294,1,0.136328125
1,0.379815016,1,0.156835938
3,0.548439668,1,0.14609375
1,0.510080411,0,0.131445313
2,0.4763899,1,0.1109375
3,0.519028416,0,0.09921875
3,0.405126867,1,0.148046875
4,0.454214805,1,0.132421875
2,0.421414427,1,0.13828125
2,0.380211467,1,0.135351563
3,0.356096857,1,0.09921875
3,0.337201074,1,0.151953125
1,0.287317024,1,0.13046875
1,0.444008173,1,0.10703125
3,0.284723678,1,0.09921875
1,0.308629081,1,0.15390625
1,0.294478347,1,0.1265625
4,0.356687626,1,0.09921875
2,0.325260938,1,0.104101563
1,0.193726259,1,0.1265625
1,0.220604445,1,0.128515625
4,0.319213129,1,0.152929688
2,0.311993444,1,0.15
3,0.275782335,1,0.167578125
3,0.463240568,1,0.09921875
4,0.326089086,1,0.145117188
1,0.417655657,1,0.240820313
2,0.348963931,1,0.149023438
4,0.406745705,1,0.09921875
4,0.438627912,1,0.117773438
4,0.370970796,1,0.165625
1,0.369376708,1,0.170507813
1,0.273905941,1,0.137304688
2,0.302313274,1,0.148046875
3,0.43071648,1,0.14609375
4,0.650440446,1,0.135351563
1,0.238521569,1,0.128515625
2,0.262644104,1,0.13046875
4,0.491702901,0,0.09921875
2,0.348527044,1,0.187109375
2,0.337465583,1,0.137304688
3,0.218433328,1,0.117773438
2,0.225376215,1,0.09921875
2,0.365600577,1,0.140234375
2,0.227358826,1,0.120703125
2,0.145128121,1,0.156835938
4,0.343928577,1,0.115820313
4,0.366610477,1,0.125585938
4,0.342398107,1,0.09921875
3,0.307747206,1,0.09921875
1,0.268164326,1,0.188085938
3,0.350158454,1,0.134375
2,0.242777779,1,0.120703125
3,0.279816129,1,0.09921875
4,0.241585908,1,0.09921875
3,0.246474821,1,0.13828125
2,0.249612248,1,0.140234375
1,0.26471814,1,0.132421875
3,0.338838066,1,0.214453125
4,0.338718788,0,0.11875
1,0.354861358,1,0.139257813
3,0.287902029,1,0.186132813
4,0.367502112,1,0.09921875
2,0.295232189,1,0.10703125
1,0.313117788,1,0.237890625
1,0.254492279,1,0.152929688
1,0.289762411,1,0.19296875
1,0.278640006,1,0.124609375
1,0.291499918,1,0.145117188
1,0.251672895,1,0.09921875
2,0.267197878,1,0.131445313
1,0.27093923,1,0.117773438
1,0.195686419,1,0.115820313
4,0.316390478,1,0.119726563
3,0.273451803,1,0.09921875
3,0.214395785,1,0.135351563
2,0.39180245,1,0.144140625
4,0.274372611,1,0.155859375
3,0.424928707,1,0.145117188
1,0.285946392,1,0.135351563
2,0.275281944,1,0.135351563
4,0.505212632,1,0.1578125
3,0.334109589,1,0.09921875
4,0.406523,1,0.231054688
2,0.324957191,1,0.143164063
2,0.361777629,1,0.149023438
4,0.46202743,1,0.141210938
3,0.296943931,1,0.155859375
3,0.275451622,1,0.15
3,0.356575762,1,0.140234375
3,0.297463182,1,0.15
2,0.274530575,1,0.167578125
1,0.255004371,1,0.133398438
2,0.327566847,1,0.135351563
4,0.355980186,1,0.124609375
3,0.79925356,0,0.1421875
1,0.352126687,1,0.184179688
3,0.45353526,1,0.121679688
2,0.335434389,1,0.16171875
3,0.464912697,0,0.12265625
1,0.286151814,1,0.2359375
4,0.375185921,1,0.09921875
4,0.377629146,1,0.124609375
3,0.295360271,1,0.11484375
2,0.202088165,1,0.141210938
2,0.391677191,1,0.180273438
2,0.276336995,1,0.09921875
2,0.178677604,1,0.119726563
2,0.241699472,1,0.09921875
4,0.362771517,0,0.150976563
1,0.306124944,1,0.150976563
4,0.381521472,1,0.163671875
1,0.226644422,1,0.166601563
3,0.359573318,1,0.187109375
2,0.289565052,1,0.165625
1,0.500521242,1,0.140234375
2,0.256497266,1,0.219335938
1,0.26578676,1,0.09921875
4,0.342241279,1,0.124609375
3,0.558751004,1,0.10703125
4,0.352834893,1,0.09921875
4,0.387412781,1,0.112890625
4,0.339364314,1,0.158789063
1,0.23114601,1,0.141210938
2,0.331914784,1,0.129492188
3,0.439351984,1,0.108984375
4,0.537468235,1,0.139257813
4,0.249990251,1,0.18125
1,0.607797944,1,0.248632813
2,0.416823772,1,0.09921875
4,0.315555122,1,0.163671875
3,0.377167452,1,0.15390625
4,0.422204983,0,0.2125
1,0.297316458,1,0.148046875
2,0.246205493,1,0.09921875
3,0.27570005,1,0.160742188
2,0.2548106,1,0.135351563
1,0.203645617,1,0.123632813
4,0.323383337,1,0.128515625
3,0.223487314,1,0.09921875
3,0.480453633,1,0.09921875
3,0.322098731,0,0.1578125
2,0.233388125,1,0.119726563
4,0.372859135,1,0.09921875
3,0.34794387,1,0.139257813
1,0.25239141,1,0.09921875
4,0.266185943,1,0.143164063
4,0.710328032,0,0.137304688
1,0.234674028,1,0.133398438
1,0.283932575,1,0.112890625
1,0.33033562,1,0.09921875
4,0.372477821,1,0.159765625
4,0.563225643,1,0.156835938
3,0.266103454,1,0.151953125
1,0.18368523,1,0.140234375
3,0.21345858,1,0.248632813
4,0.468411687,1,0.155859375
2,0.377051856,1,0.248632813
2,0.448587323,1,0.09921875
4,0.5726204,1,0.149023438
3,0.513884433,1,0.09921875
4,0.557827803,1,0.140234375
2,0.326207172,1,0.112890625
3,0.253753442,1,0.09921875
1,0.296987312,1,0.121679688
3,0.414361895,1,0.139257813
4,0.71885109,0,0.115820313
3,0.372859638,1,0.248632813
3,0.359883078,1,0.1265625
2,0.314583503,1,0.144140625
2,0.297282513,1,0.1265625
1,0.2816056,1,0.148046875
2,0.276615183,1,0.155859375
2,0.294146845,1,0.136328125
4,0.370664413,1,0.104101563
4,0.266562364,1,0.09921875
2,0.264043275,1,0.09921875
2,0.188016515,1,0.09921875
3,0.336429294,1,0.136328125
1,0.123511437,1,0.09921875
2,0.233787733,1,0.109960938
4,0.263471968,1,0.134375
1,0.272263626,1,0.134375
1,0.237658048,1,0.09921875
1,0.314936311,1,0.174414063
1,0.232668238,1,0.09921875
3,0.288374164,1,0.168554688
3,0.449489278,1,0.1265625
3,0.253108929,1,0.14609375
4,0.444782366,1,0.134375
3,0.440352129,1,0.09921875
1,0.304669688,1,0.167578125
2,0.302849003,1,0.09921875
1,0.256106823,1,0.134375
1,0.224947085,1,0.145117188
4,0.377485193,1,0.23984375
4,0.685171744,1,0.164648438
2,0.373547515,1,0.140234375
2,0.228668979,1,0.158789063
3,0.283005013,1,0.09921875
1,0.282663194,1,0.159765625
1,0.297971109,1,0.144140625
3,0.305782986,1,0.129492188
4,0.4318236,1,0.141210938
1,0.354925529,1,0.248632813
1,0.367190113,1,0.248632813
2,0.337529209,1,0.248632813
1,0.272151678,1,0.160742188
1,0.322500469,1,0.140234375
4,0.195147597,1,0.134375
3,0.18294431,1,0.14609375
3,0.333827375,1,0.112890625
4,0.544464794,1,0.248632813
3,0.193886732,1,0.163671875
2,0.227080379,1,0.108984375
2,0.193996916,1,0.117773438
4,0.35880186,1,0.148046875
2,0.175324435,1,0.136328125
1,0.284486155,1,0.152929688
2,0.138376606,1,0.148046875
3,0.261458642,1,0.17734375
2,0.308320266,1,0.151953125
4,0.303501398,1,0.1421875
2,0.231685431,1,0.09921875
3,0.279181408,1,0.120703125
2,0.294551924,1,0.248632813
2,0.186843816,1,0.129492188
1,0.166869663,1,0.101171875
3,0.22773144,1,0.1421875
2,0.185985544,0,0.117773438
2,0.465020717,1,0.162695313
2,0.399036534,1,0.129492188
1,0.32027827,1,0.132421875
4,0.407217077,1,0.09921875
2,0.282974635,1,0.154882813
2,0.34251162,1,0.139257813
3,0.335443472,1,0.09921875
4,0.314414704,1,0.131445313
3,0.336589719,1,0.09921875
