condition,response_time,response_corr,n200lat
1,0.327164166,1,0.147070313
3,0.302157649,1,0.151953125
2,0.263071667,1,0.115820313
4,0.525492852,1,0.108007813
4,0.259887463,1,0.164648438
2,0.210758737,1,0.112890625
2,0.361182741,1,0.198828125
4,0.434802301,0,0.121679688
2,0.276230548,1,0.154882813
3,0.271820624,1,0.123632813
1,0.278730357,1,0.23203125
2,0.552618974,1,0.1890625
3,0.265724596,1,0.15390625
3,0.290075024,1,0.116796875
1,0.259297898,1,0.147070313
3,0.677170966,0,0.13828125
3,0.198450533,0,0.156835938
4,0.233431775,1,0.152929688
2,0.235982781,1,0.162695313
4,0.220857832,1,0.133398438
1,0.291211738,1,0.129492188
3,0.288631884,0,0.2203125
1,0.267001743,1,0.166601563
4,0.398515346,1,0.141210938
3,0.463532383,1,0.165625
2,0.277644967,1,0.15
2,0.296200504,1,0.128515625
2,0.32106735,1,0.09921875
3,0.456898602,1,0.121679688
2,0.356429962,1,0.154882813
3,0.342418436,1,0.116796875
4,0.359286237,1,0.18515625
3,0.618265633,1,0.148046875
3,0.327357612,1,0.136328125
2,0.27976985,1,0.155859375
1,0.214563142,1,0.140234375
1,0.341519893,1,0.09921875
4,0.253469485,1,0.163671875
4,0.52460126,1,0.159765625
3,0.285968714,1,0.160742188
3,0.303648622,1,0.191992188
1,0.376913961,1,0.147070313
4,0.247878623,1,0.140234375
4,0.33997315,1,0.109960938
2,0.222185603,1,0.132421875
3,0.324670253,1,0.16953125
1,0.116748557,1,0.15
2,0.29175276,1,0.187109375
4,0.3772186,1,0.156835938
1,0.230229369,1,0.1265625
4,0.175362468,0,0.166601563
4,0.248000652,0,0.168554688
2,0.180446547,1,0.163671875
3,0.208205283,1,0.133398438
4,0.37235038,1,0.180273438
1,0.297790525,1,0.151953125
4,0.305032847,1,0.119726563
3,0.400224236,1,0.136328125
4,0.255915915,1,0.09921875
3,0.232617088,1,0.158789063
3,0.235183632,1,0.155859375
4,0.322659282,1,0.159765625
3,0.394335194,1,0.172460938
4,0.356266345,0,0.115820313
1,0.252763183,1,0.213476563
1,0.235105717,1,0.154882813
3,0.291116947,1,0.155859375
1,0.319642997,1,0.248632813
4,0.260674184,1,0.221289063
4,0.230000515,1,0.18515625
2,0.333485661,1,0.201757813
1,0.2320449,1,0.148046875
2,0.234146946,1,0.176367188
1,0.253903333,1,0.09921875
4,0.215275397,1,0.123632813
2,0.299430638,1,0.215429688
2,0.28836848,1,0.158789063
4,0.150837426,1,0.162695313
4,0.568686027,1,0.163671875
1,0.207394391,1,0.248632813
1,0.172974184,1,0.16171875
2,0.163882977,0,0.136328125
3,0.465566438,1,0.116796875
1,0.28696258,1,0.09921875
2,0.263223061,1,0.116796875
3,0.176758859,1,0.160742188
1,0.256857788,1,0.124609375
3,0.269472433,1,0.217382813
3,0.246571736,1,0.13828125
2,0.186138636,0,0.154882813
1,0.178617651,1,0.226171875
2,0.251566885,1,0.133398438
4,0.282211105,1,0.133398438
1,0.223767165,1,0.211523438
2,0.158391337,1,0.16953125
2,0.258377867,1,0.148046875
2,0.264196789,1,0.17734375
4,0.301479441,1,0.150976563
1,0.303424866,1,0.09921875
4,0.332170447,1,0.152929688
1,0.365533507,1,0.166601563
4,0.344573427,1,0.17734375
4,0.385398561,1,0.16953125
4,0.333484253,1,0.120703125
1,0.240954768,1,0.162695313
4,0.226941425,1,0.14609375
2,0.270456884,1,0.16953125
1,0.325549365,1,0.100195313
3,0.317691074,1,0.147070313
3,0.262371436,1,0.170507813
4,0.811784081,1,0.113867188
4,0.335645313,1,0.15
3,0.316125213,1,0.108984375
2,0.295289103,1,0.141210938
1,0.236525534,1,0.167578125
3,0.336228463,1,0.172460938
1,0.245506321,1,0.170507813
1,0.30362228,1,0.176367188
2,0.292946655,1,0.123632813
4,0.313198836,1,0.18515625
3,0.427150955,1,0.112890625
1,0.283489478,1,0.09921875
