condition,image_index,key_press,response_time,response_corr,stimulus_side,prioritization_cue,n200lat
2.0,19.0,2.0,0.748449467582759,1.0,1,76,0.13828125
3.0,57.0,2.0,1.01933124346851,1.0,1,75,0.1578125
1.0,22.0,2.0,0.536884360850308,1.0,0,74,0.1470703125
3.0,47.0,2.0,1.08745140816973,0.0,1,75,0.1431640625
4.0,51.0,1.0,1.05407891973937,1.0,1,76,0.23203125
1.0,19.0,2.0,0.417338769468188,1.0,1,75,0.1177734375
4.0,61.0,1.0,0.981068530128141,0.0,1,76,0.1998046875
4.0,58.0,1.0,0.740132731252743,0.0,1,76,0.112890625
2.0,6.0,1.0,0.75270876498962,1.0,1,76,0.1197265625
1.0,1.0,1.0,0.46542624272297,1.0,1,75,0.140234375
4.0,52.0,2.0,0.638266898045003,0.0,1,76,0.24375
4.0,44.0,2.0,0.530803005423877,0.0,0,76,0.09921875
4.0,53.0,2.0,0.747463019356474,0.0,1,76,0.09921875
4.0,72.0,2.0,0.755595974523203,1.0,0,76,0.1158203125
2.0,15.0,1.0,0.539192297357658,1.0,0,76,0.1890625
4.0,46.0,2.0,0.649708182812901,0.0,0,76,0.2486328125
4.0,39.0,1.0,0.50292386923411,1.0,1,76,0.1294921875
1.0,11.0,1.0,0.58248782902956,1.0,1,75,0.09921875
2.0,20.0,2.0,0.581257550878036,1.0,1,76,0.09921875
2.0,17.0,2.0,0.601976571129853,0.0,1,76,0.116796875
2.0,31.0,2.0,0.882829845250853,1.0,1,76,0.1783203125
3.0,44.0,1.0,1.2417437677268,1.0,0,74,0.1470703125
2.0,1.0,1.0,0.428202152062113,1.0,1,76,0.1734375
2.0,30.0,2.0,0.633601970443124,1.0,0,76,0.1412109375
4.0,55.0,2.0,0.379908650545076,1.0,0,76,0.1158203125
2.0,2.0,1.0,0.290666116832654,1.0,1,76,0.1275390625
1.0,29.0,2.0,0.330165537144239,1.0,0,74,0.09921875
4.0,40.0,1.0,0.831498758520866,1.0,0,76,0.1158203125
3.0,61.0,2.0,0.693136453201987,1.0,0,74,0.1626953125
4.0,47.0,2.0,0.671605485893451,0.0,1,76,0.1294921875
2.0,26.0,2.0,0.385446840324221,1.0,1,76,0.148046875
3.0,71.0,2.0,0.51890264467329,1.0,0,74,0.13828125
3.0,62.0,2.0,0.590560620988072,1.0,1,75,0.1294921875
2.0,13.0,1.0,0.692577374732537,1.0,0,76,0.124609375
2.0,16.0,1.0,0.527535873513443,1.0,0,76,0.191015625
1.0,36.0,2.0,0.515598298253281,1.0,1,75,0.1412109375
4.0,70.0,2.0,1.31325874259892,1.0,1,76,0.151953125
1.0,21.0,2.0,0.420935045031911,1.0,1,75,0.101171875
3.0,43.0,2.0,0.753297743443909,0.0,1,75,0.187109375
2.0,28.0,2.0,0.568553229338249,1.0,0,76,0.167578125
4.0,54.0,2.0,0.879365564512227,0.0,1,76,0.1529296875
