condition,response_time,response_corr,n200lat
1,0.565468869,1,0.168554688
2,0.532897562,1,0.147070313
2,0.594132354,1,0.162695313
1,0.587224648,1,0.129492188
3,0.534089218,1,0.1421875
3,1.064877593,1,0.143164063
2,0.520469755,1,0.158789063
2,1.051721405,1,0.166601563
4,0.873090177,1,0.136328125
3,0.868645803,1,0.199804688
2,0.446516363,1,0.217382813
3,0.488790613,1,0.182226563
1,0.361389113,1,0.139257813
4,0.533709989,1,0.104101563
3,0.464044569,1,0.1421875
3,0.790844416,0,0.125585938
1,0.482619457,1,0.168554688
4,0.575418883,1,0.141210938
3,0.364453123,1,0.134375
3,0.445044073,1,0.131445313
2,0.49697266,1,0.16171875
3,0.515453724,1,0.124609375
3,0.780521245,1,0.137304688
4,1.106243348,0,0.148046875
2,0.420753453,1,0.233984375
3,0.503912895,1,0.184179688
2,0.47424279,1,0.182226563
1,0.313686943,1,0.125585938
3,0.541814253,1,0.179296875
4,0.38185817,1,0.127539063
4,0.473549095,1,0.137304688
3,0.506493949,1,0.178320313
1,0.364580518,1,0.176367188
1,0.335614506,1,0.198828125
4,0.607415059,1,0.155859375
4,0.652199706,1,0.1734375
3,0.466322852,1,0.1421875
4,0.617728628,1,0.134375
2,0.533892264,1,0.213476563
4,0.313659787,1,0.127539063
3,0.805705834,1,0.140234375
3,0.452392172,1,0.150976563
4,0.472464491,1,0.1421875
1,0.278702512,1,0.131445313
1,0.3350454,1,0.128515625
2,0.370697051,1,0.13046875
1,0.332372191,1,0.139257813
3,0.503670375,1,0.14609375
1,0.298486495,1,0.117773438
4,0.375510836,1,0.129492188
2,0.395163955,1,0.134375
1,0.471152545,1,0.145117188
2,0.501056719,1,0.226171875
1,0.485901042,1,0.144140625
4,0.411858106,1,0.144140625
1,0.301997884,1,0.135351563
2,0.34101697,1,0.158789063
3,0.29039804,1,0.137304688
2,0.335627869,1,0.143164063
3,0.420295279,1,0.143164063
4,0.628803468,1,0.145117188
1,0.428461097,1,0.127539063
1,0.379316348,1,0.160742188
3,0.435687728,1,0.141210938
1,0.340103674,1,0.147070313
4,0.366030339,1,0.137304688
1,0.257266247,1,0.139257813
2,0.317561584,1,0.139257813
1,0.252958777,1,0.125585938
4,0.594796538,1,0.127539063
4,0.466814369,1,0.14609375
2,0.361000489,1,0.145117188
3,0.762905166,1,0.135351563
1,0.448223147,1,0.1421875
4,0.831545356,1,0.123632813
2,0.266953484,1,0.207617188
2,0.557135877,1,0.15
2,0.356415914,1,0.155859375
4,0.480692957,1,0.149023438
3,0.303181617,1,0.140234375
2,0.593816263,1,0.139257813
3,0.899950169,0,0.132421875
2,0.423292016,1,0.152929688
2,0.481706807,1,0.143164063
1,0.380083778,1,0.131445313
3,0.499857728,1,0.137304688
2,0.372052903,1,0.13828125
2,0.567268555,1,0.09921875
1,0.461974139,1,0.139257813
2,0.399062654,1,0.136328125
4,0.350757139,1,0.131445313
4,0.901917434,1,0.1109375
3,0.856598214,1,0.117773438
1,0.415074758,1,0.248632813
2,0.393818947,1,0.156835938
2,0.480207456,1,0.159765625
2,0.573818532,1,0.151953125
4,0.534262089,1,0.150976563
3,0.589496888,0,0.137304688
2,0.59973318,1,0.121679688
4,0.450193149,1,0.155859375
4,1.183588559,1,0.16171875
1,0.477669948,1,0.101171875
2,0.375659445,1,0.13828125
3,0.538981672,1,0.145117188
1,0.627238981,1,0.1578125
3,0.514855231,1,0.124609375
4,0.40337928,1,0.13046875
3,0.761265424,1,0.14609375
4,0.390064757,1,0.143164063
4,0.561452496,0,0.13828125
4,0.7581954,1,0.133398438
1,0.367841111,1,0.135351563
4,0.65432015,1,0.144140625
1,0.49498305,1,0.135351563
2,0.434783312,1,0.128515625
3,0.617407542,1,0.214453125
3,0.394794341,1,0.145117188
3,0.432283327,1,0.140234375
3,0.500837627,1,0.1421875
2,0.528294093,1,0.09921875
1,0.366130112,1,0.207617188
3,0.854355772,1,0.140234375
1,0.350226659,1,0.188085938
2,0.456878952,1,0.154882813
4,0.582333786,1,0.141210938
3,0.333441054,1,0.137304688
1,0.370907776,1,0.175390625
4,1.123541249,1,0.2125
1,0.418993855,1,0.135351563
4,0.650320424,1,0.156835938
1,0.405553035,1,0.129492188
4,0.804638208,1,0.148046875
4,0.920636615,0,0.14609375
2,0.391567673,1,0.160742188
4,0.771447571,0,0.156835938
3,0.423216649,1,0.15390625
1,0.415323349,1,0.159765625
2,0.506588906,1,0.137304688
2,0.605459661,1,0.156835938
1,0.42412577,1,0.148046875
4,0.725815014,1,0.145117188
1,0.528144183,1,0.149023438
1,0.424688531,1,0.141210938
4,0.590187163,1,0.1421875
1,0.374990755,1,0.149023438
1,0.390634069,1,0.148046875
3,0.3803416,1,0.154882813
4,0.333334543,1,0.147070313
1,0.406583728,1,0.1265625
3,0.901152892,0,0.116796875
1,0.324229805,1,0.140234375
4,0.397055622,1,0.149023438
4,0.415130189,1,0.149023438
1,0.377918922,1,0.134375
1,0.380841469,1,0.120703125
4,0.461737841,1,0.214453125
3,0.833119159,0,0.162695313
4,0.857198474,1,0.140234375
3,0.768444294,1,0.15
4,0.505993085,1,0.1421875
1,0.405123883,1,0.135351563
2,0.571544244,1,0.13828125
3,0.355713585,1,0.1265625
1,0.434187631,1,0.162695313
2,0.372708526,1,0.1265625
2,0.563957131,1,0.156835938
4,0.484578045,1,0.15
1,0.481940754,1,0.140234375
1,0.320922734,1,0.119726563
4,0.780791553,0,0.18125
1,0.286738945,1,0.124609375
2,0.526538956,1,0.148046875
4,0.721584518,1,0.15
4,0.607993131,1,0.155859375
1,0.409000004,1,0.125585938
3,0.683604494,1,0.141210938
3,0.710365164,1,0.134375
4,0.674693976,1,0.125585938
3,0.384667891,1,0.164648438
1,0.323749978,1,0.136328125
2,0.43089565,1,0.217382813
4,0.290338396,1,0.14609375
2,0.470961281,1,0.154882813
1,0.341880974,1,0.248632813
1,0.316818645,1,0.168554688
3,0.5395101,1,0.140234375
3,1.12469793,1,0.124609375
4,0.641471287,1,0.135351563
3,0.500859991,1,0.162695313
4,0.493642272,1,0.167578125
2,0.373128496,1,0.23984375
1,0.467742982,1,0.1734375
4,0.434291852,1,0.151953125
4,1.328072914,1,0.152929688
3,0.542662934,1,0.147070313
2,0.378114829,1,0.143164063
3,1.128248253,0,0.116796875
3,0.397868368,1,0.148046875
3,0.497403715,1,0.149023438
4,0.362498171,1,0.1578125
1,0.415447086,1,0.127539063
2,0.248737533,1,0.143164063
4,0.632396546,1,0.121679688
2,0.585727399,1,0.167578125
4,0.599518542,1,0.131445313
1,0.212624539,1,0.117773438
3,0.904352654,1,0.135351563
2,0.668326657,1,0.123632813
2,0.567783692,1,0.140234375
3,0.486805039,1,0.15
3,0.305147489,1,0.137304688
1,0.386928555,1,0.222265625
2,0.273466667,1,0.135351563
4,0.756019811,1,0.129492188
1,0.470173203,1,0.134375
3,0.425929994,1,0.162695313
1,0.421803109,1,0.131445313
4,0.54119401,1,0.16171875
2,0.317530276,1,0.139257813
2,0.482059169,1,0.140234375
2,0.626070275,1,0.134375
3,0.528179708,1,0.149023438
4,0.32757595,1,0.147070313
1,0.308301639,1,0.123632813
1,0.251895559,1,0.14609375
1,0.373238387,1,0.129492188
1,0.393173853,1,0.145117188
1,0.4143898,1,0.137304688
2,0.59458604,1,0.137304688
2,0.315803193,1,0.113867188
4,0.479957996,1,0.145117188
1,0.311050946,1,0.136328125
1,0.448722598,1,0.214453125
2,0.386545962,1,0.16171875
2,0.475733411,1,0.20859375
2,0.583697319,0,0.218359375
4,0.687402766,0,0.158789063
3,1.25649855,0,0.15
2,0.539057183,1,0.134375
1,0.417704493,1,0.236914063
2,0.386517077,1,0.186132813
1,0.440244434,1,0.13828125
2,1.145141988,1,0.13828125
3,0.571890307,1,0.1421875
2,0.432787476,1,0.149023438
4,0.741141988,1,0.150976563
2,0.607656738,1,0.172460938
3,1.044739036,1,0.13046875
1,0.324758195,1,0.143164063
3,0.532376699,1,0.129492188
1,0.380782736,1,0.141210938
2,0.513693631,1,0.24375
4,0.763187981,1,0.145117188
2,0.686881702,1,0.191992188
4,0.767626659,1,0.187109375
3,0.35223186,1,0.147070313
3,0.632540221,1,0.154882813
2,0.41681504,1,0.156835938
3,1.411908006,1,0.1421875
4,0.746392685,1,0.09921875
2,0.443630217,1,0.15
2,0.340762606,1,0.152929688
3,1.446357777,1,0.178320313
3,0.551315589,1,0.165625
4,1.446855298,1,0.190039063
4,0.753239492,0,0.2046875
2,0.57992066,1,0.186132813
2,0.587701422,1,0.209570313
2,0.327825086,1,0.17734375
3,0.299357267,1,0.1265625
3,1.144651182,0,0.129492188
2,0.504549508,1,0.09921875
4,0.663753442,1,0.242773438
2,0.491380098,1,0.13046875
1,0.526693961,1,0.124609375
1,0.487523749,1,0.1421875
1,0.463583795,1,0.1890625
1,0.943727955,1,0.15390625
3,0.99011979,1,0.149023438
4,1.256672432,0,0.145117188
4,0.402356974,1,0.159765625
3,1.074021803,1,0.11484375
3,1.646929311,1,0.13046875
3,0.950025881,1,0.241796875
3,0.593471613,1,0.170507813
4,0.542863707,1,0.152929688
4,1.368622917,1,0.136328125
