condition,image_index,key_press,response_time,response_corr,stimulus_side,prioritization_cue,n200lat
4,68,2,1.185238596,1,0,76,0.17734375
1,15,1,0.515192703,1,0,74,0.151953125
3,45,2,0.617357772,0,0,74,0.23203125
1,16,1,1.048323408,1,1,75,0.2486328125
3,60,2,0.646233382,1,0,74,0.15390625
3,71,1,0.684531773,0,0,74,0.2486328125
3,42,2,0.780996647,0,0,74,0.2486328125
4,54,1,0.940507427,1,0,76,0.2486328125
1,36,2,0.463845003,1,0,74,0.1138671875
3,51,1,0.450358188,1,1,75,0.2486328125
3,37,1,0.421455726,1,0,74,0.18515625
3,63,2,0.767359132,1,1,75,0.1333984375
2,8,1,0.358450393,1,0,76,0.1470703125
2,7,1,0.383673136,1,0,76,0.11875
3,41,1,0.60388994,1,1,75,0.1421875
1,2,1,0.262549732,1,1,75,0.09921875
1,12,1,0.399049066,1,1,75,0.140234375
3,70,2,0.612980383,1,1,75,0.105078125
4,51,2,0.644078217,0,1,76,0.09921875
2,10,1,0.54232539,1,1,76,0.2486328125
4,70,2,0.438990165,1,0,76,0.1431640625
1,28,2,0.7757298,1,1,75,0.134375
1,10,1,0.359354089,1,1,75,0.1041015625
2,13,2,0.782576313,0,0,76,0.13046875
2,35,2,0.552593095,1,0,76,0.222265625
2,17,1,0.313015582,1,1,76,0.09921875
3,50,1,0.521674127,1,1,75,0.144140625
3,57,2,0.446228727,1,0,74,0.1021484375
1,8,1,0.977508243,1,0,74,0.09921875
4,45,1,0.581837349,1,1,76,0.09921875
3,72,1,0.343137877,0,0,74,0.140234375
4,44,1,0.421658513,1,0,76,0.12265625
3,69,1,0.364681461,0,0,74,0.09921875
1,6,1,0.331910269,1,1,75,0.2486328125
4,72,2,0.369599261,1,1,76,0.1421875
1,35,2,0.379687817,1,0,74,0.1041015625
1,32,2,0.415970732,1,0,74,0.1783203125
4,66,2,0.486761809,1,0,76,0.187109375
4,71,2,0.379654384,1,1,76,0.116796875
2,34,2,0.417716852,1,0,76,0.1626953125
4,48,1,0.74754364,1,0,76,0.1490234375
4,62,2,0.39336328,1,1,76,0.2271484375
3,55,2,0.424951257,1,1,75,0.120703125
1,21,2,1.321912842,1,1,75,0.09921875
3,62,2,0.634819243,1,0,74,0.2056640625
1,26,2,0.671721705,1,1,75,0.1607421875
2,26,2,0.219441673,1,1,76,0.09921875
2,3,1,0.352869139,1,1,76,0.136328125
1,30,2,0.399650148,1,0,74,0.148046875
2,16,1,0.51090257,1,0,76,0.18515625
2,22,2,0.47580146,1,0,76,0.09921875
2,21,2,1.017420843,1,1,76,0.171484375
4,41,2,0.534902839,0,0,76,0.167578125
4,59,2,0.904173927,1,0,76,0.136328125
2,28,2,0.697088488,1,0,76,0.1705078125
2,14,1,0.426535735,1,1,76,0.2486328125
4,63,2,0.779571823,1,1,76,0.148046875
2,4,1,0.426449537,1,0,76,0.112890625
1,19,2,0.307482301,1,1,75,0.09921875
1,9,1,0.235918725,1,0,74,0.2486328125
1,34,2,0.931686553,1,0,74,0.1607421875
1,17,1,0.259142397,1,0,74,0.1216796875
3,61,2,0.561418684,1,0,74,0.1109375
1,1,1,0.276154514,1,0,74,0.167578125
1,14,1,0.351114033,1,1,75,0.2330078125
4,52,2,0.391477992,0,0,76,0.1666015625
2,12,1,0.441088657,1,1,76,0.1509765625
1,22,2,0.342557316,1,0,74,0.194921875
4,42,2,0.447283226,0,0,76,0.09921875
4,56,1,1.466475416,0,0,76,0.1431640625
3,52,2,0.60211081,0,0,74,0.1275390625
2,30,2,0.933658787,1,1,76,0.09921875
4,50,1,0.327245603,1,1,76,0.194921875
3,56,2,0.274149015,1,1,75,0.2486328125
2,9,2,0.247975121,0,1,76,0.1373046875
1,7,1,0.441985768,1,1,75,0.1333984375
2,15,1,0.324524795,1,1,76,0.16171875
4,37,1,0.331964567,1,0,76,0.1578125
2,2,1,0.397366858,1,1,76,0.1724609375
2,27,2,0.628722957,1,0,76,0.2076171875
4,60,1,0.607573731,0,1,76,0.1109375
3,49,1,0.712255344,1,1,75,0.11875
2,20,2,0.375942701,1,0,76,0.1294921875
3,65,2,0.335069186,1,0,74,0.151953125
2,1,1,0.392500665,1,1,76,0.1109375
4,58,2,0.444730336,1,0,76,0.17734375
3,44,1,0.620210883,1,1,75,0.21640625
1,25,2,0.446073646,1,0,74,0.171484375
1,5,1,0.497998068,1,1,75,0.2134765625
3,46,1,0.86700251,1,1,75,0.09921875
3,38,1,0.48462101,1,1,75,0.128515625
1,24,2,0.23516145,1,1,75,0.144140625
4,46,1,0.419316161,1,1,76,0.09921875
4,49,2,0.689982432,0,1,76,0.09921875
1,13,1,0.425726082,1,1,75,0.1392578125
3,53,2,0.395387603,0,0,74,0.2486328125
3,68,2,0.487019738,1,0,74,0.1373046875
3,59,2,0.409399524,1,0,74,0.1587890625
2,31,1,0.540769147,0,0,76,0.183203125
4,61,2,0.682412181,1,1,76,0.13046875
4,39,1,0.42802676,1,1,76,0.1197265625
2,29,2,0.232886129,1,0,76,0.2486328125
4,67,2,0.876993425,1,1,76,0.2486328125
3,64,2,0.402572711,1,1,75,0.23203125
1,33,2,0.337359446,1,0,74,0.120703125
4,47,2,0.529274512,0,1,76,0.1373046875
3,39,1,0.404513721,1,1,75,0.2349609375
2,32,2,0.247926627,1,0,76,0.214453125
1,31,1,0.494267198,0,1,75,0.1275390625
1,20,2,0.433566901,1,1,75,0.1548828125
1,23,2,0.276197438,1,0,74,0.09921875
2,18,1,0.423197704,1,1,76,0.09921875
1,18,1,0.476316323,1,0,74,0.1548828125
2,33,2,0.396453899,1,0,76,0.140234375
2,11,1,0.43464647,1,1,76,0.09921875
3,58,2,0.432458828,1,1,75,0.1734375
3,66,2,1.042560644,1,1,75,0.1158203125
4,40,2,0.436141968,0,1,76,0.1744140625
2,36,2,0.549910292,1,0,76,0.128515625
2,23,2,0.422969346,1,1,76,0.1451171875
2,24,2,0.319297897,1,1,76,0.16171875
3,67,2,0.26378802,1,1,75,0.1724609375
1,4,1,0.36788478,1,1,75,0.1568359375
1,3,1,0.478958494,1,0,74,0.128515625
3,54,1,0.45828741,1,1,75,0.1451171875
4,57,1,0.431096538,0,1,76,0.167578125
4,64,2,0.609361586,1,0,76,0.1109375
4,55,2,0.3704226,1,0,76,0.13046875
1,11,1,0.376581808,1,0,74,0.1314453125
4,43,2,0.414163644,0,1,76,0.1373046875
3,43,1,0.512368198,1,1,75,0.1470703125
3,40,1,0.409625805,1,0,74,0.148046875
2,5,1,0.540098618,1,1,76,0.1509765625
4,69,2,0.536277696,1,1,76,0.13046875
2,25,2,1.070289937,1,1,76,0.1373046875
2,6,1,0.414857094,1,0,76,0.2486328125
1,29,2,0.5344448,1,1,75,0.230078125
3,48,1,0.44080821,1,0,74,0.15
2,19,2,0.328798273,1,0,76,0.1783203125
1,27,2,0.513754467,1,0,74,0.09921875
4,53,2,0.628327824,0,0,76,0.132421875
4,65,2,0.40708634,1,0,76,0.09921875
3,47,2,0.552929327,0,0,74,0.1861328125
4,38,1,0.463585305,1,0,76,0.1451171875
4,44,1,0.834048831,1,1,76,0.1314453125
2,34,2,0.767883695,1,0,76,0.1763671875
1,11,1,0.47783969,1,1,75,0.14609375
1,22,2,0.527666426,1,1,75,0.228125
4,46,1,0.372166394,1,0,76,0.1802734375
3,49,1,0.463913794,1,0,74,0.09921875
4,57,1,0.481487074,0,0,76,0.1734375
4,63,2,0.438298625,1,1,76,0.15390625
3,41,1,0.457354749,1,0,74,0.1529296875
2,21,2,0.444232426,1,0,76,0.18515625
2,36,2,0.41402548,1,0,76,0.1451171875
1,19,2,0.334845761,1,0,74,0.155859375
3,58,2,0.412852278,1,1,75,0.1529296875
4,49,1,0.46330806,1,1,76,0.2173828125
3,48,1,1.160285234,1,0,74,0.1041015625
3,52,1,0.565203208,1,0,74,0.202734375
2,20,2,0.443908236,1,0,76,0.116796875
3,44,1,0.430892412,1,0,74,0.202734375
3,57,2,0.660442624,1,1,75,0.1568359375
1,27,2,0.464528288,1,1,75,0.1216796875
2,23,2,0.480934643,1,0,76,0.1021484375
4,43,2,0.569387791,0,0,76,0.120703125
4,58,2,0.37418754,1,0,76,0.15390625
3,40,2,0.383243874,0,1,75,0.1431640625
2,31,2,0.444293111,1,0,76,0.2486328125
4,50,2,0.541742595,0,1,76,0.134375
1,28,2,0.432139415,1,0,74,0.1587890625
2,16,1,0.467430157,1,1,76,0.1509765625
4,40,1,0.45310454,1,1,76,0.136328125
2,2,1,0.478044622,1,1,76,0.1763671875
3,51,1,0.355701473,1,1,75,0.148046875
1,12,1,0.426036054,1,1,75,0.155859375
4,64,2,0.507153824,1,0,76,0.1724609375
2,7,1,0.389586814,1,1,76,0.09921875
2,30,2,0.398487087,1,0,76,0.09921875
2,28,2,0.478799315,1,1,76,0.1353515625
4,48,1,0.455083489,1,0,76,0.132421875
3,53,2,0.453486964,0,0,74,0.128515625
2,26,2,0.446074793,1,0,76,0.18125
1,15,1,0.328486058,1,1,75,0.11875
3,63,2,0.549708142,1,1,75,0.1158203125
3,56,2,0.498837775,1,1,75,0.1431640625
4,55,2,0.375803754,1,0,76,0.1900390625
2,3,1,0.280487043,1,1,76,0.155859375
2,33,2,0.378630455,1,1,76,0.155859375
1,5,1,0.452052047,1,0,74,0.2486328125
3,65,2,0.402936082,1,0,74,0.1431640625
4,51,1,0.449303103,1,1,76,0.1177734375
2,14,1,0.313588678,1,0,76,0.09921875
3,45,2,0.541070899,0,1,75,0.16953125
1,26,2,0.452621134,1,0,74,0.1412109375
2,18,1,0.365378255,1,1,76,0.148046875
4,42,2,0.394228143,0,1,76,0.15390625
2,5,1,0.453460993,1,1,76,0.09921875
4,37,1,0.594837006,1,0,76,0.1646484375
1,35,2,0.301249404,1,1,75,0.140234375
1,29,2,1.248948324,1,1,75,0.09921875
1,17,1,0.27208445,1,1,75,0.1275390625
3,38,1,0.393852157,1,1,75,0.120703125
1,23,2,0.774737214,1,0,74,0.196875
2,27,2,0.490874574,1,0,76,0.1197265625
4,38,1,0.462526684,1,1,76,0.103125
3,70,2,0.592574755,1,0,74,0.167578125
1,10,1,0.381097216,1,1,75,0.1451171875
4,69,2,0.397722477,1,0,76,0.140234375
1,25,2,0.671374136,1,1,75,0.2486328125
3,42,1,0.526416831,1,1,75,0.120703125
2,15,1,0.69301303,1,1,76,0.1373046875
1,13,1,0.275239933,1,0,74,0.1041015625
2,22,2,0.44576461,1,1,76,0.175390625
4,71,2,0.328201471,1,0,76,0.210546875
2,24,2,0.41922882,1,0,76,0.1705078125
2,6,1,0.465021389,1,0,76,0.237890625
2,4,1,0.317183086,1,0,76,0.1724609375
1,31,2,0.351112376,1,1,75,0.1099609375
2,29,2,0.530109305,1,0,76,0.1890625
1,20,2,0.361715974,1,0,74,0.194921875
2,13,1,0.345042382,1,1,76,0.2486328125
4,54,2,0.546459533,0,0,76,0.09921875
3,60,2,0.689735477,1,1,75,0.15390625
3,54,1,0.431520338,1,1,75,0.1431640625
3,55,2,0.486372571,1,0,74,0.1958984375
4,61,2,0.354445723,1,1,76,0.13828125
3,59,2,0.488196761,1,1,75,0.218359375
4,47,2,0.464789138,0,1,76,0.09921875
3,62,2,0.632472489,1,1,75,0.2486328125
1,30,2,0.425502628,1,1,75,0.1421875
1,32,2,0.443267206,1,0,74,0.16171875
2,35,1,0.689669457,0,1,76,0.1763671875
3,61,1,0.425738661,0,1,75,0.148046875
4,60,2,0.939882389,1,1,76,0.2486328125
1,1,1,0.319971673,1,0,74,0.2486328125
3,46,1,0.439662973,1,0,74,0.132421875
1,18,1,0.545847955,1,1,75,0.2291015625
3,50,1,0.486500815,1,1,75,0.1041015625
1,7,1,0.506193158,1,0,74,0.1841796875
1,34,2,0.497653435,1,1,75,0.1265625
1,8,2,0.371176464,0,1,75,0.09921875
2,19,2,0.578325487,1,1,76,0.09921875
1,24,2,0.458083107,1,1,75,0.1373046875
1,3,1,1.754815023,1,0,74,0.103125
2,32,2,0.481886784,1,0,76,0.09921875
4,53,2,0.442884414,0,1,76,0.159765625
2,10,1,0.545854267,1,1,76,0.2017578125
2,1,1,0.351993743,1,1,76,0.1216796875
3,64,2,0.42437714,1,1,75,0.151953125
1,36,2,0.393913158,1,0,74,0.1939453125
4,62,2,0.476988158,1,0,76,0.15390625
3,69,2,0.378779558,1,0,74,0.179296875
2,9,1,0.483329048,1,1,76,0.1685546875
4,66,1,0.412657316,0,1,76,0.09921875
2,8,1,0.459529116,1,0,76,0.1265625
3,72,2,0.429417994,1,0,74,0.151953125
4,59,2,0.584575391,1,1,76,0.1861328125
3,47,1,0.411004224,1,0,74,0.09921875
2,12,1,0.482581446,1,0,76,0.1568359375
2,11,1,0.417157881,1,1,76,0.1392578125
3,67,2,0.41687666,1,1,75,0.155859375
3,37,1,0.506859945,1,0,74,0.15390625
4,67,2,0.437313987,1,0,76,0.1890625
4,39,1,0.537350343,1,0,76,0.1265625
1,2,1,0.528064253,1,0,74,0.2388671875
4,45,2,0.648252575,0,0,76,0.12265625
3,66,2,0.653610133,1,0,74,0.1734375
4,56,2,0.493372187,1,0,76,0.1734375
4,70,2,0.525157834,1,0,76,0.171484375
1,6,1,0.361480754,1,0,74,0.105078125
1,16,1,0.483828088,1,1,75,0.148046875
2,25,2,0.402879283,1,0,76,0.18515625
4,52,2,0.518400988,0,1,76,0.105078125
2,17,2,0.646372155,0,1,76,0.1099609375
1,9,1,0.41383469,1,0,74,0.1705078125
1,33,2,0.254112189,1,0,74,0.140234375
4,68,2,0.238587922,1,1,76,0.151953125
4,72,2,0.340671236,1,1,76,0.1822265625
3,39,1,0.242084324,1,0,74,0.09921875
1,21,2,0.295219428,1,0,74,0.112890625
1,4,1,0.372597442,1,1,75,0.116796875
3,43,2,0.3535372,0,0,74,0.15390625
4,65,2,0.40862815,1,0,76,0.09921875
3,71,1,0.383266785,0,1,75,0.14609375
3,68,2,0.311520712,1,0,74,0.1939453125
4,41,1,0.373702616,1,1,76,0.13828125
1,14,1,0.301089302,1,0,74,0.09921875
