condition,image_index,key_press,response_time,response_corr,stimulus_side,prioritization_cue,n200lat
1,19,2,0.529205722,1,0,74,0.167578125
2,12,1,0.51950124,1,0,76,0.2203125
2,20,2,0.611203617,1,0,76,0.1587890625
1,5,1,0.465089392,1,0,74,0.1333984375
1,13,1,0.367166147,1,1,75,0.128515625
4,38,1,0.473300258,1,0,76,0.2232421875
1,32,2,0.267344981,1,1,75,0.18515625
1,3,1,0.368247107,1,0,74,0.2232421875
3,67,2,0.624751615,1,1,75,0.1880859375
2,36,2,0.359965256,1,0,76,0.15390625
3,68,2,0.480231822,1,1,75,0.1392578125
4,56,2,0.412700538,1,0,76,0.1431640625
3,59,2,0.562817221,1,1,75,0.1646484375
1,8,1,0.330081539,1,1,75,0.1431640625
1,12,1,0.345416111,1,0,74,0.2447265625
4,42,1,0.763944333,1,0,76,0.171484375
1,9,1,0.418446355,1,1,75,0.1392578125
2,6,1,0.596000761,1,1,76,0.09921875
3,44,2,0.611740271,0,1,75,0.1529296875
2,35,2,0.857350713,1,0,76,0.128515625
3,38,1,0.394905035,1,1,75,0.2056640625
3,41,1,0.626630461,1,0,74,0.16171875
2,4,1,0.437973628,1,0,76,0.179296875
3,42,1,0.49622248,1,1,75,0.1451171875
2,19,2,0.494933034,1,0,76,0.2095703125
1,24,2,0.462500455,1,0,74,0.13828125
4,43,1,0.47627392,1,0,76,0.2330078125
4,57,2,0.589189884,1,1,76,0.1626953125
3,45,1,0.56202266,1,0,74,0.1978515625
1,35,2,0.325435325,1,1,75,0.1529296875
4,58,2,0.53137707,1,0,76,0.1587890625
4,45,1,0.508483074,1,1,76,0.1724609375
3,51,1,0.575477497,1,0,74,0.2251953125
2,10,1,0.564002378,1,1,76,0.1548828125
3,57,2,0.427341864,1,1,75,0.1578125
2,25,2,0.441126161,1,0,76,0.1685546875
3,48,1,0.362270745,1,0,74,0.14609375
1,22,2,0.724012994,1,0,74,0.183203125
2,13,1,0.513516232,1,0,76,0.2076171875
3,39,1,0.855185555,1,1,75,0.196875
1,15,1,0.563796578,1,0,74,0.2486328125
2,32,2,0.448695831,1,0,76,0.18515625
2,28,2,0.471782148,1,1,76,0.1783203125
4,39,1,0.455053171,1,0,76,0.1802734375
2,26,2,0.422024795,1,1,76,0.19296875
1,27,2,0.363193656,1,1,75,0.1392578125
4,54,1,0.442300558,1,1,76,0.2486328125
1,31,2,0.821522792,1,0,74,0.1275390625
2,17,1,0.431269408,1,0,76,0.140234375
4,50,1,0.457648171,1,1,76,0.19296875
2,30,2,0.373188536,1,1,76,0.218359375
4,40,1,0.314468774,1,0,76,0.1724609375
1,33,2,0.280092847,1,1,75,0.214453125
4,72,2,0.579081784,1,0,76,0.165625
4,44,1,0.378711868,1,1,76,0.1763671875
3,63,2,0.510849365,1,1,75,0.09921875
2,21,2,0.409418822,1,0,76,0.2447265625
4,59,2,0.512303414,1,0,76,0.151953125
1,25,2,0.342887856,1,1,75,0.09921875
4,64,2,0.430861175,1,1,76,0.163671875
1,17,1,0.376790506,1,1,75,0.2095703125
1,34,2,0.302312868,1,1,75,0.183203125
3,52,1,0.445477388,1,0,74,0.2486328125
4,60,2,0.590993105,1,1,76,0.1041015625
2,29,2,0.45027908,1,0,76,0.09921875
4,52,1,0.458065171,1,1,76,0.2037109375
4,55,2,0.712631227,1,1,76,0.1783203125
4,41,1,0.523430523,1,0,76,0.2134765625
3,70,2,0.593686425,1,0,74,0.2232421875
2,31,2,0.379177803,1,1,76,0.09921875
1,18,1,0.502860894,1,0,74,0.1568359375
1,4,1,0.667525581,1,1,75,0.2330078125
1,21,2,0.327495306,1,1,75,0.1861328125
2,33,2,0.598956438,1,0,76,0.2291015625
3,49,1,0.440674674,1,0,74,0.2037109375
4,63,1,0.479420213,0,0,76,0.155859375
2,22,2,0.585836601,1,1,76,0.2447265625
4,70,2,0.545840114,1,1,76,0.09921875
3,66,2,0.514252083,1,1,75,0.2486328125
3,62,2,0.450279045,1,0,74,0.175390625
4,46,1,0.398420916,1,1,76,0.17734375
4,65,2,0.375788266,1,0,76,0.167578125
1,6,1,0.441869183,1,1,75,0.2486328125
4,51,1,0.556620596,1,0,76,0.19296875
2,7,1,0.402566178,1,1,76,0.09921875
1,16,1,0.361081998,1,0,74,0.2486328125
4,62,2,0.427707864,1,0,76,0.09921875
1,30,2,0.336347221,1,0,74,0.2486328125
4,66,2,0.578821961,1,0,76,0.163671875
4,49,1,0.538202375,1,1,76,0.16953125
1,14,1,0.72614612,1,0,74,0.1763671875
3,43,1,0.600727303,1,0,74,0.1626953125
3,58,2,0.560155306,1,0,74,0.1646484375
1,28,2,0.303694359,1,0,74,0.2291015625
1,20,2,0.32964572,1,1,75,0.175390625
4,47,1,0.630496917,1,1,76,0.2486328125
3,60,1,0.771207725,0,0,74,0.1451171875
1,2,1,0.457423808,1,1,75,0.21640625
3,71,2,0.488210916,1,0,74,0.1275390625
2,3,1,0.461748802,1,0,76,0.1939453125
4,48,1,0.350765836,1,1,76,0.17734375
3,47,1,0.218299923,1,0,74,0.1705078125
4,68,2,0.609312417,1,0,76,0.18125
1,23,2,0.31027962,1,0,74,0.191015625
2,2,1,0.3291599,1,1,76,0.210546875
3,69,2,0.594152482,1,0,74,0.16953125
3,72,2,0.464056744,1,1,75,0.09921875
3,64,2,0.462875227,1,0,74,0.1958984375
3,37,1,0.353053091,1,1,75,0.23203125
2,16,1,0.519392261,1,0,76,0.1822265625
3,61,2,0.317831722,1,1,75,0.196875
1,26,2,0.440156833,1,0,74,0.155859375
2,24,2,0.30807518,1,1,76,0.13828125
4,53,1,0.392464733,1,1,76,0.1919921875
3,46,1,0.37627331,1,1,75,0.1314453125
2,23,2,0.370199073,1,1,76,0.167578125
2,1,1,0.388379084,1,0,76,0.1958984375
2,11,1,0.405241586,1,1,76,0.1080078125
4,67,2,0.449078515,1,0,76,0.1626953125
2,27,2,0.318277592,1,1,76,0.23203125
2,8,1,0.414796803,1,1,76,0.2486328125
2,15,1,0.402119957,1,1,76,0.163671875
3,65,2,0.359523106,1,0,74,0.2486328125
1,36,2,0.264383144,1,1,75,0.09921875
3,50,1,0.359385541,1,1,75,0.2251953125
1,7,1,0.416601447,1,0,74,0.233984375
4,37,1,0.424367465,1,1,76,0.1666015625
2,18,1,0.25787182,1,1,76,0.2486328125
2,9,1,0.381545335,1,0,76,0.17734375
1,1,1,0.726088555,1,0,74,0.167578125
3,40,1,0.487966105,1,1,75,0.2486328125
3,55,1,0.654606,0,1,75,0.136328125
2,14,1,0.646131827,1,1,76,0.2076171875
1,11,1,0.371216749,1,1,75,0.165625
4,61,2,0.508251919,1,0,76,0.179296875
1,29,2,0.341930644,1,0,74,0.1392578125
3,53,1,0.382744771,1,0,74,0.1685546875
4,71,2,0.431567378,1,1,76,0.179296875
2,34,1,0.342494944,0,0,76,0.18515625
3,56,2,0.32782967,1,0,74,0.18515625
2,5,1,0.448058785,1,1,76,0.1705078125
1,10,1,0.321703881,1,1,75,0.167578125
4,69,2,0.608835097,1,1,76,0.15390625
3,54,1,0.515199311,1,1,75,0.210546875
2,32,2,0.471903976,1,0,76,0.2232421875
4,48,1,0.435903444,1,1,76,0.17734375
1,29,2,0.547883956,1,0,74,0.183203125
3,51,1,0.278340208,1,1,75,0.136328125
1,14,1,0.320365963,1,0,74,0.1529296875
3,64,2,0.253626698,1,1,75,0.09921875
4,56,2,0.500077431,1,0,76,0.2076171875
3,71,2,0.451763013,1,0,74,0.1568359375
4,39,1,0.328514852,1,1,76,0.16171875
3,48,1,0.778781161,1,0,74,0.226171875
3,56,2,0.461894987,1,1,75,0.134375
4,68,2,0.527006017,1,1,76,0.1548828125
3,67,2,0.512568238,1,1,75,0.175390625
2,5,1,0.435824328,1,1,76,0.136328125
3,46,1,0.41243852,1,1,75,0.183203125
3,38,1,0.446366612,1,0,74,0.179296875
2,21,2,0.430313848,1,1,76,0.09921875
1,10,1,0.400102472,1,1,75,0.1587890625
2,12,1,0.373719972,1,1,76,0.1666015625
2,9,1,0.378364565,1,1,76,0.1666015625
4,40,1,0.584428492,1,0,76,0.1900390625
3,70,2,0.404976329,1,1,75,0.09921875
1,12,1,0.375369947,1,1,75,0.175390625
3,40,1,0.470487157,1,1,75,0.20078125
1,15,1,0.523842938,1,0,74,0.1607421875
4,71,2,0.510244047,1,1,76,0.15390625
4,50,1,0.391885924,1,1,76,0.1548828125
3,68,2,0.590596324,1,1,75,0.206640625
3,63,2,0.463464891,1,0,74,0.2193359375
2,16,1,0.677238754,1,1,76,0.1373046875
3,45,1,0.40163611,1,0,74,0.1763671875
4,61,2,0.671164433,1,1,76,0.144140625
1,6,1,0.718702392,1,1,75,0.2125
3,53,1,0.351581002,1,1,75,0.187109375
4,55,2,0.52095026,1,0,76,0.2486328125
3,43,1,0.468600996,1,0,74,0.198828125
2,11,1,0.537220906,1,0,76,0.2486328125
3,50,1,0.468611438,1,0,74,0.19296875
1,8,1,0.330500482,1,1,75,0.11484375
4,42,1,0.392039466,1,0,76,0.175390625
3,42,1,0.429847946,1,0,74,0.1822265625
4,70,2,0.627360675,1,1,76,0.1509765625
1,30,2,0.368148982,1,1,75,0.2486328125
4,49,1,0.399418598,1,1,76,0.09921875
1,27,2,0.394642813,1,0,74,0.18515625
4,47,1,0.401843567,1,0,76,0.2486328125
2,2,1,0.393507641,1,1,76,0.2095703125
2,30,2,0.306889324,1,1,76,0.1509765625
1,2,1,0.229438435,1,1,75,0.1314453125
1,17,1,0.460086589,1,0,74,0.1919921875
2,35,1,0.436640661,0,0,76,0.167578125
3,57,2,0.34577246,1,1,75,0.1880859375
2,28,2,0.451449175,1,1,76,0.1919921875
4,67,2,0.429940827,1,0,76,0.245703125
1,1,1,0.410093633,1,0,74,0.1880859375
1,16,1,0.467889833,1,0,74,0.1734375
4,46,1,0.431787057,1,1,76,0.18125
4,69,2,0.700005757,1,1,76,0.1802734375
1,34,2,0.483136526,1,1,75,0.18125
3,39,1,0.619932448,1,1,75,0.183203125
4,58,2,0.556114589,1,0,76,0.1421875
3,54,1,0.620332707,1,1,75,0.194921875
2,22,2,1.081748812,1,1,76,0.183203125
4,37,1,0.611365175,1,0,76,0.2046875
1,25,2,0.360225114,1,1,75,0.148046875
2,1,1,0.3777329,1,0,76,0.1705078125
2,4,1,0.451785512,1,1,76,0.09921875
1,11,1,0.479910517,1,0,74,0.1783203125
1,36,2,0.56308312,1,0,74,0.2486328125
1,35,2,0.478537823,1,1,75,0.1275390625
1,32,2,0.343731785,1,0,74,0.194921875
2,25,2,0.428563872,1,0,76,0.17734375
3,69,2,0.433039375,1,0,74,0.1099609375
2,29,2,0.372209697,1,1,76,0.1626953125
3,59,2,0.815785459,1,0,74,0.1666015625
2,20,2,0.418287986,1,1,76,0.09921875
2,19,2,0.361792508,1,0,76,0.194921875
4,53,1,0.333033523,1,0,76,0.148046875
2,10,1,0.371152991,1,0,76,0.09921875
2,23,2,0.514210682,1,0,76,0.1646484375
1,21,2,0.432285188,1,0,74,0.163671875
1,23,2,0.284288531,1,1,75,0.163671875
4,64,2,0.304940674,1,1,76,0.15390625
1,28,2,0.315614868,1,1,75,0.2330078125
4,60,2,0.527153578,1,1,76,0.18125
3,61,2,0.341487068,1,1,75,0.1841796875
2,31,2,0.407192899,1,0,76,0.155859375
2,13,1,0.468442008,1,0,76,0.1626953125
4,43,1,0.473838385,1,0,76,0.2486328125
4,66,1,0.407743095,0,1,76,0.1607421875
2,27,2,0.490198148,1,0,76,0.2134765625
1,13,1,0.326247242,1,0,74,0.1587890625
1,19,2,0.318845609,1,1,75,0.187109375
3,37,1,0.496516044,1,1,75,0.1646484375
1,20,2,0.319409881,1,0,74,0.1978515625
4,44,1,0.462691838,1,0,76,0.1822265625
2,18,1,0.461380999,1,0,76,0.175390625
2,6,1,0.640644692,1,0,76,0.1744140625
4,41,1,0.375806791,1,0,76,0.2486328125
2,15,1,0.415369387,1,1,76,0.167578125
1,33,1,0.360632404,0,1,75,0.140234375
3,55,2,0.468235743,1,0,74,0.1412109375
4,62,2,0.638210311,1,1,76,0.2232421875
3,62,2,0.369967363,1,0,74,0.09921875
4,52,1,0.337434571,1,1,76,0.206640625
2,7,1,0.436222987,1,1,76,0.2486328125
1,22,2,0.433577564,1,0,74,0.1607421875
4,65,2,0.438585686,1,1,76,0.1744140625
4,72,2,0.543818233,1,0,76,0.1919921875
4,54,2,0.486238193,0,0,76,0.2037109375
1,31,1,0.34439274,0,1,75,0.2486328125
1,4,1,0.26819042,1,1,75,0.2388671875
3,47,1,0.414284797,1,1,75,0.17734375
2,8,1,0.397695461,1,0,76,0.1802734375
1,7,1,0.353231848,1,0,74,0.159765625
2,14,1,0.642565384,1,1,76,0.14609375
3,72,2,0.684217894,1,0,74,0.179296875
4,38,1,0.555293994,1,0,76,0.245703125
3,44,1,0.521558442,1,0,74,0.1861328125
2,34,2,0.364253974,1,0,76,0.1666015625
1,3,1,0.286876665,1,1,75,0.2486328125
3,41,1,0.388611846,1,1,75,0.2486328125
3,60,2,0.444994361,1,0,74,0.2486328125
2,3,1,0.389400917,1,0,76,0.1978515625
4,59,2,0.437603346,1,0,76,0.16953125
1,24,2,0.344491028,1,0,74,0.1666015625
3,52,1,0.435525109,1,0,74,0.1607421875
2,24,2,0.342943108,1,0,76,0.18515625
1,9,1,0.38716441,1,0,74,0.179296875
3,65,2,0.462444832,1,0,74,0.2125
1,18,1,0.335106604,1,0,74,0.2486328125
1,26,2,0.268191916,1,1,75,0.2486328125
3,66,2,0.401642041,1,1,75,0.1822265625
4,51,1,0.346516589,1,0,76,0.1265625
4,63,2,0.418208376,1,1,76,0.148046875
4,45,1,0.432813758,1,1,76,0.2486328125
1,5,1,0.410144809,1,1,75,0.191015625
3,49,1,0.488449674,1,1,75,0.1783203125
2,36,2,0.342021409,1,1,76,0.2486328125
2,26,2,0.411309031,1,1,76,0.2203125
2,17,1,0.40126496,1,0,76,0.1666015625
3,58,2,0.60263375,1,0,74,0.1880859375
4,57,2,0.547393197,1,0,76,0.228125
2,33,2,0.387642939,1,1,76,0.2125
