condition,image_index,key_press,response_time,response_corr,stimulus_side,prioritization_cue,n200lat
3,42,2,0.572005804,0,1,75,0.1412109375
4,38,2,1.163605002,0,1,76,0.1822265625
3,59,2,0.565947521,1,0,74,0.210546875
3,50,1,0.804567783,1,1,75,0.148046875
4,61,1,0.67046297,0,1,76,0.1333984375
3,39,2,0.843872055,0,0,74,0.1265625
4,37,1,0.707161745,1,1,76,0.1041015625
1,19,2,0.619634656,1,0,74,0.24765625
3,53,2,0.87216658,0,0,74,0.1509765625
2,4,1,0.575745712,1,1,76,0.1998046875
4,55,1,0.964110427,0,0,76,0.103125
4,56,2,0.802936214,1,1,76,0.09921875
1,14,2,0.913225199,0,1,75,0.2486328125
2,7,2,0.956420863,0,1,76,0.2134765625
1,31,2,1.124052023,1,0,74,0.222265625
4,67,1,0.900347123,0,1,76,0.09921875
1,32,2,0.615706433,1,0,74,0.1158203125
2,20,2,1.217120464,1,1,76,0.1080078125
4,65,2,0.490440984,1,0,76,0.09921875
2,6,1,0.662531664,1,0,76,0.144140625
3,64,2,0.711201998,1,1,75,0.1509765625
1,33,2,0.42808505,1,1,75,0.1744140625
1,28,2,0.287583969,1,1,75,0.1431640625
4,42,2,0.4335031,0,1,76,0.241796875
4,57,1,0.344127709,0,1,76,0.09921875
2,25,2,0.455893979,1,1,76,0.1099609375
2,29,2,0.508548536,1,0,76,0.1666015625
1,24,2,0.389076739,1,0,74,0.1373046875
2,9,1,0.471707923,1,0,76,0.1998046875
4,69,2,0.61274742,1,1,76,0.179296875
2,32,2,0.256456278,1,1,76,0.1294921875
2,21,2,0.291568865,1,1,76,0.1529296875
4,49,1,0.41890395,1,1,76,0.1490234375
3,61,2,0.494141456,1,1,75,0.18125
2,1,1,0.34766162,1,1,76,0.171484375
1,17,1,0.362582423,1,0,74,0.2486328125
3,43,1,0.653409088,1,1,75,0.101171875
4,52,1,0.594382485,1,0,76,0.09921875
4,53,1,0.440450278,1,0,76,0.1333984375
4,62,2,0.582231472,1,1,76,0.1685546875
3,54,1,0.819840747,1,0,74,0.1265625
3,62,1,0.500636873,0,0,74,0.144140625
1,13,1,0.368403362,1,1,75,0.124609375
3,55,2,0.523475373,1,1,75,0.167578125
2,13,1,0.484767035,1,1,76,0.1568359375
3,71,1,0.609937049,0,1,75,0.140234375
2,10,1,0.339922652,1,1,76,0.2486328125
4,50,1,0.245132737,1,1,76,0.09921875
1,26,2,0.228016428,1,0,74,0.16953125
3,41,1,0.326960289,1,1,75,0.171484375
2,5,1,0.303796387,1,0,76,0.15390625
1,4,1,0.202905448,1,1,75,0.233984375
2,22,2,0.2900823,1,0,76,0.1568359375
4,41,1,0.331389666,1,0,76,0.1353515625
1,10,1,0.214574741,1,1,75,0.14609375
1,29,2,0.26240196,1,0,74,0.15
3,47,1,0.357517475,1,0,74,0.136328125
4,63,1,0.569494795,0,0,76,0.1236328125
4,40,1,0.872331342,1,0,76,0.1646484375
4,45,1,1.243052097,1,0,76,0.13046875
3,57,2,0.56532812,1,0,74,0.1333984375
2,26,1,0.404086976,0,1,76,0.18515625
4,48,1,0.94234788,1,0,76,0.1587890625
3,60,2,0.623414575,1,0,74,0.1255859375
4,47,2,0.339940401,0,0,76,0.1548828125
2,18,1,0.602979922,1,0,76,0.16953125
3,58,1,0.813551687,0,0,74,0.1822265625
1,12,1,0.887548006,1,0,74,0.144140625
2,23,2,0.406925712,1,0,76,0.1333984375
4,44,1,0.414264064,1,1,76,0.1763671875
1,3,1,0.231550715,1,0,74,0.15390625
1,7,1,0.401312292,1,1,75,0.1265625
1,11,1,0.224851155,1,1,75,0.16953125
1,36,2,0.302389939,1,1,75,0.2486328125
2,14,1,0.436059499,1,0,76,0.13828125
