condition,response_time,response_corr,n200lat
3,0.370070552,0,0.179296875
4,0.449900068,0,0.116796875
3,0.340036829,1,0.178320313
1,0.195944805,1,0.147070313
2,0.24015464,1,0.12265625
1,0.255592577,1,0.20078125
3,0.492753025,1,0.149023438
2,0.299105112,1,0.244726563
3,0.413870924,1,0.11875
2,0.322099449,1,0.115820313
1,0.283913156,1,0.154882813
1,0.22068082,1,0.210546875
4,0.357240341,1,0.19296875
4,0.556479479,1,0.16953125
4,0.465275689,1,0.248632813
3,0.356674618,0,0.16953125
2,0.365298342,1,0.176367188
2,0.361385286,1,0.21640625
4,0.36143436,1,0.179296875
4,0.687451232,1,0.163671875
1,0.441523225,1,0.139257813
3,0.478674808,1,0.1578125
3,0.402410357,1,0.115820313
1,0.408372477,1,0.113867188
1,0.360119998,1,0.134375
4,0.448228602,1,0.164648438
4,0.426483028,1,0.167578125
4,0.404217568,1,0.15390625
4,0.431936189,1,0.180273438
4,0.398944364,1,0.165625
1,0.412122036,1,0.09921875
2,0.403926536,1,0.151953125
2,0.380414128,1,0.09921875
1,0.469651871,1,0.201757813
2,0.369730067,1,0.140234375
2,0.337367251,1,0.165625
1,0.24222568,1,0.158789063
4,0.315265609,1,0.248632813
4,0.577927368,0,0.167578125
2,0.330537528,1,0.229101563
1,0.421312735,1,0.214453125
2,0.684146463,1,0.18125
2,0.328345436,1,0.155859375
4,0.392110156,1,0.149023438
2,0.372005379,1,0.167578125
3,0.676411117,1,0.132421875
2,0.434949723,1,0.123632813
2,0.277339841,1,0.214453125
1,0.358738158,1,0.20859375
1,0.333081501,1,0.155859375
4,0.447455131,1,0.111914063
4,0.478513157,1,0.105078125
1,0.401384395,1,0.165625
4,0.505332497,1,0.121679688
1,0.444831846,1,0.140234375
2,0.361089992,1,0.2125
1,0.332213008,1,0.158789063
3,0.487268162,1,0.124609375
3,0.513944381,1,0.14609375
4,0.437496823,1,0.09921875
3,0.455086677,1,0.1421875
4,0.493456518,1,0.201757813
4,0.417197324,1,0.1109375
1,0.348803344,1,0.09921875
1,0.268751321,1,0.160742188
3,0.346755534,1,0.1734375
3,0.425932989,1,0.133398438
4,0.510697789,1,0.116796875
2,0.301323097,1,0.09921875
1,0.310234987,1,0.248632813
1,0.390753576,1,0.111914063
3,0.469258351,0,0.140234375
3,0.467179529,1,0.09921875
2,0.298532363,1,0.166601563
1,0.298682964,1,0.117773438
4,0.393914934,1,0.16171875
2,0.378876249,1,0.12265625
4,0.465835745,1,0.160742188
2,0.466158048,1,0.172460938
3,0.577208978,0,0.184179688
