condition,response_time,response_corr,n200lat
2,0.387364786,1,0.124609375
1,0.222060742,1,0.09921875
2,0.512291729,1,0.145117188
3,0.623827359,0,0.09921875
1,0.301280705,1,0.125585938
1,0.156143181,1,0.117773438
2,0.434810713,1,0.09921875
4,0.446384122,0,0.133398438
2,0.370106047,1,0.15390625
4,0.316266915,1,0.1578125
3,0.554698347,1,0.09921875
3,0.470528836,0,0.137304688
3,0.570944176,0,0.145117188
1,0.313780139,1,0.105078125
4,0.410441784,1,0.131445313
2,0.595144082,1,0.150976563
3,0.473823287,1,0.248632813
1,0.370760631,1,0.15
1,0.37966226,1,0.1265625
1,0.331063158,1,0.176367188
1,0.260268589,1,0.125585938
2,0.198244213,1,0.132421875
4,0.239898917,1,0.108984375
3,0.505676371,1,0.116796875
2,0.189355128,1,0.09921875
2,0.263327522,1,0.152929688
2,0.269199169,1,0.117773438
3,0.253954354,1,0.09921875
2,0.220970232,0,0.09921875
1,0.402275861,1,0.09921875
4,0.207568682,1,0.246679688
1,0.321333558,1,0.113867188
4,0.244335561,1,0.09921875
4,0.422007849,1,0.136328125
2,0.231281128,1,0.119726563
4,0.464712264,1,0.187109375
3,0.394741079,0,0.13046875
2,0.2030735,1,0.127539063
4,0.345520487,1,0.13828125
2,0.339082658,1,0.104101563
1,0.246110936,1,0.149023438
1,0.326700914,1,0.1265625
4,0.459438776,0,0.108007813
1,0.314177221,1,0.158789063
1,0.313444733,1,0.125585938
2,0.18789881,1,0.132421875
3,0.420442789,0,0.09921875
2,0.577497926,1,0.152929688
3,0.256054057,1,0.248632813
2,0.307978226,1,0.09921875
2,0.286217761,1,0.191015625
4,0.375570924,1,0.128515625
4,0.473985764,1,0.129492188
3,0.678881586,0,0.231054688
1,0.226092339,1,0.237890625
1,0.314737681,1,0.248632813
3,0.158980286,1,0.12265625
3,0.261471681,1,0.105078125
1,0.174281981,0,0.09921875
2,0.238768864,1,0.119726563
3,0.235140358,1,0.152929688
4,0.333134931,1,0.242773438
3,0.36866123,1,0.111914063
4,0.427187269,1,0.127539063
3,0.212993805,1,0.119726563
4,0.26057942,1,0.09921875
1,0.215246041,1,0.132421875
4,0.711271239,1,0.158789063
2,0.308590193,1,0.140234375
2,0.292910582,1,0.152929688
2,0.336747383,1,0.1421875
3,0.275410885,1,0.135351563
2,0.249930966,1,0.147070313
4,0.351606217,1,0.109960938
1,0.237350934,1,0.128515625
1,0.330381527,1,0.106054688
4,0.346963348,1,0.111914063
3,0.495216711,0,0.127539063
2,0.303961905,1,0.129492188
4,0.401079879,1,0.178320313
1,0.178292314,1,0.09921875
1,0.243812905,1,0.197851563
2,0.185081081,1,0.09921875
4,0.266830425,1,0.123632813
3,0.295909192,1,0.09921875
2,0.208861297,1,0.10703125
2,0.115698314,1,0.244726563
3,0.217643277,1,0.120703125
1,0.303665929,1,0.134375
1,0.296827656,1,0.143164063
2,0.362108291,1,0.13046875
2,0.282102345,1,0.132421875
1,0.391381288,1,0.09921875
4,0.284844217,1,0.09921875
3,0.383073199,1,0.156835938
3,0.370787152,1,0.123632813
4,0.548023078,1,0.154882813
1,0.329578037,1,0.117773438
2,0.246995589,1,0.167578125
4,0.349399147,1,0.100195313
4,0.313085161,1,0.133398438
4,0.25160195,1,0.162695313
3,0.270095289,1,0.104101563
1,0.341728254,1,0.115820313
1,0.167016803,1,0.09921875
1,0.185439408,1,0.14609375
3,0.310533959,1,0.1421875
1,0.510019533,1,0.09921875
2,0.315811113,1,0.241796875
1,0.444763567,1,0.13046875
2,0.214731914,1,0.127539063
3,0.512356414,1,0.226171875
2,0.499496513,1,0.115820313
3,0.518663247,1,0.116796875
1,0.405165269,1,0.16171875
1,0.233053495,1,0.124609375
3,0.301091189,1,0.123632813
4,0.25082819,1,0.108984375
4,0.383993036,1,0.132421875
4,0.344115503,1,0.248632813
3,0.296648497,1,0.17734375
2,0.281704843,1,0.11875
4,0.337921422,1,0.24375
3,0.336007683,1,0.09921875
4,0.438155581,1,0.134375
4,0.39409829,1,0.1421875
1,0.228984132,1,0.136328125
3,0.319988359,1,0.106054688
1,0.386915576,1,0.102148438
3,0.313333959,1,0.152929688
3,0.287174123,0,0.140234375
4,0.31052041,1,0.128515625
3,0.331104288,1,0.09921875
4,0.394168217,0,0.144140625
4,0.660653492,1,0.09921875
3,0.730814238,1,0.152929688
2,0.443151207,1,0.167578125
1,0.361298282,1,0.135351563
3,0.304435278,1,0.162695313
4,0.533238326,1,0.17734375
2,0.295112933,1,0.135351563
4,0.465304907,0,0.131445313
2,0.234187518,1,0.103125
3,0.386052537,1,0.248632813
4,0.474569769,0,0.133398438
4,0.533948125,1,0.14609375
2,0.239889395,1,0.09921875
2,0.313284947,1,0.17734375
4,0.340524181,1,0.16171875
1,0.311565622,1,0.13828125
2,0.401158972,1,0.09921875
3,0.380492085,1,0.117773438
1,0.287038428,1,0.248632813
4,0.35746476,1,0.1109375
4,0.452917566,1,0.168554688
1,0.404412681,1,0.145117188
3,0.401425854,1,0.09921875
3,0.301940947,1,0.147070313
3,0.142008566,1,0.111914063
3,0.4396915,0,0.1265625
2,0.214699553,1,0.133398438
4,0.270482402,1,0.11484375
2,0.185437729,1,0.160742188
2,0.173771767,1,0.237890625
3,0.207399823,1,0.13046875
4,0.675767722,0,0.128515625
1,0.18846674,1,0.131445313
4,0.174596694,1,0.1265625
1,0.210958494,1,0.11484375
1,0.304968996,1,0.13828125
1,0.300354297,1,0.20078125
2,0.212092505,1,0.1265625
4,0.284117004,1,0.16171875
4,0.280172969,1,0.119726563
1,0.282299877,1,0.09921875
2,0.207226128,0,0.09921875
4,0.314336494,1,0.09921875
2,0.24358874,1,0.11875
4,0.305285494,1,0.100195313
1,0.342240135,1,0.248632813
3,0.294306786,1,0.13828125
4,0.33968082,1,0.14609375
3,0.226014164,1,0.136328125
1,0.216763211,1,0.09921875
1,0.213248492,0,0.09921875
2,0.321242839,1,0.148046875
1,0.363862245,1,0.09921875
4,0.436144477,1,0.09921875
