condition,response_time,response_corr,n200lat
4,0.64928293,0,0.194921875
1,0.676809307,1,0.128515625
1,0.431871838,1,0.120703125
4,0.822467924,1,0.10703125
2,0.4699687,1,0.15
4,0.84131294,1,0.19296875
1,0.356208259,1,0.248632813
3,0.677988527,0,0.103125
1,0.416893371,1,0.1421875
2,0.377566778,1,0.101171875
1,0.377524274,1,0.124609375
1,0.38782754,1,0.129492188
4,0.431828582,1,0.127539063
4,0.489126644,1,0.17734375
4,0.354966983,1,0.174414063
2,0.444983974,1,0.125585938
2,0.345171051,1,0.09921875
2,0.693466772,1,0.140234375
3,0.597903138,1,0.104101563
4,0.400387069,1,0.147070313
3,0.453869612,1,0.136328125
2,0.367200744,1,0.137304688
1,0.268210981,1,0.152929688
1,0.327486269,1,0.143164063
4,0.567777146,1,0.1578125
4,0.365970288,1,0.125585938
1,0.432141164,1,0.152929688
2,0.383472996,1,0.149023438
3,0.367932487,1,0.136328125
2,0.264678767,1,0.141210938
3,0.393151225,1,0.236914063
4,0.525980324,1,0.09921875
2,0.375739887,1,0.11875
2,0.385050348,1,0.1578125
4,0.715237842,1,0.135351563
3,0.409773637,1,0.135351563
3,0.587623398,1,0.14609375
4,0.398108834,1,0.164648438
2,0.471617205,1,0.134375
4,0.537318916,1,0.137304688
2,0.394967331,1,0.120703125
3,0.479618992,1,0.11484375
1,0.379308555,1,0.171484375
3,0.761743553,0,0.129492188
2,0.376081028,1,0.123632813
3,0.360728464,1,0.09921875
3,0.571715477,1,0.162695313
1,0.379920423,1,0.115820313
1,0.420220682,1,0.219335938
4,0.502367214,1,0.175390625
1,0.371965253,1,0.134375
4,0.452483721,1,0.15390625
3,0.753584687,1,0.151953125
2,0.506497496,1,0.18125
2,0.41993178,1,0.1578125
1,0.366977067,1,0.160742188
2,0.379066984,1,0.12265625
3,0.476443837,1,0.116796875
2,0.366841951,1,0.125585938
1,0.393087272,1,0.09921875
3,0.603209059,0,0.127539063
2,0.344477608,1,0.179296875
4,0.355946763,1,0.131445313
2,0.403580558,1,0.164648438
3,0.447600103,1,0.223242188
2,0.626617962,1,0.203710938
2,0.396403226,1,0.160742188
1,0.348274496,1,0.09921875
3,0.315984664,1,0.116796875
1,0.318175131,1,0.23984375
4,0.395000961,1,0.205664063
1,0.515987498,1,0.198828125
3,0.420995593,1,0.221289063
3,0.318539763,1,0.166601563
3,0.3584764,1,0.16171875
1,0.456407709,1,0.193945313
3,0.369222821,1,0.194921875
3,0.483230134,1,0.14609375
1,0.385275682,1,0.09921875
2,0.43910806,1,0.148046875
2,0.414757184,1,0.1578125
3,0.376382523,1,0.171484375
1,0.465299029,1,0.1578125
2,0.354222064,1,0.163671875
4,0.422344096,1,0.147070313
2,0.422945679,1,0.119726563
4,0.440566261,1,0.127539063
4,0.42032334,1,0.179296875
1,0.491481403,1,0.222265625
1,0.388566956,1,0.09921875
3,0.486711582,1,0.154882813
1,0.330575406,1,0.155859375
4,0.565232454,0,0.166601563
3,0.911523066,1,0.196875
4,0.380420116,1,0.09921875
2,0.395048023,1,0.248632813
1,0.361741629,1,0.137304688
3,0.460449153,1,0.111914063
3,0.369009474,1,0.111914063
2,0.391705622,1,0.134375
1,0.327343311,1,0.15390625
3,0.598845008,0,0.16171875
4,0.387144357,1,0.135351563
2,0.375933524,1,0.197851563
1,0.421864694,1,0.108007813
4,0.712081339,1,0.233984375
4,0.489529815,1,0.194921875
4,0.514058998,1,0.101171875
3,0.363349496,1,0.162695313
3,0.361174841,1,0.190039063
1,0.369724221,1,0.205664063
4,0.34270052,1,0.22421875
2,0.796249154,1,0.248632813
4,0.318619418,1,0.175390625
4,0.731412178,0,0.171484375
1,0.806742266,1,0.183203125
1,0.295298324,1,0.134375
2,0.453612248,1,0.229101563
4,0.660557576,1,0.241796875
2,0.447528515,1,0.115820313
3,0.771443638,1,0.140234375
2,0.494605042,1,0.132421875
2,0.354435981,1,0.16171875
1,0.401200325,1,0.132421875
3,0.362065131,1,0.135351563
