condition,image_index,key_press,response_time,response_corr,stimulus_side,prioritization_cue,n200lat
1,21,2,0.449407132216948,1,1,75,0.17734375
4,63,2,0.28388568300943,1,1,76,0.1705078125
1,28,2,0.281115914851398,1,1,75,0.2486328125
4,52,2,0.236852756138433,0,1,76,0.2486328125
4,64,2,0.260111552922353,1,1,76,0.165625
2,3,1,0.366349027693104,1,1,76,0.171484375
3,40,1,0.417663113308663,1,0,74,0.09921875
4,51,1,0.269339632722222,1,1,76,0.1919921875
3,52,1,0.383648948391055,1,1,75,0.1939453125
4,55,2,0.551617386760881,1,0,76,0.1880859375
2,25,2,0.378574467198632,1,0,76,0.15390625
3,37,1,0.327307089611168,1,1,75,0.1724609375
1,7,1,0.357029830666761,1,1,75,0.187109375
4,49,1,0.266611855514384,1,1,76,0.1646484375
1,25,2,0.249117186173862,1,0,74,0.245703125
1,33,1,0.467930025034548,0,1,75,0.2486328125
2,21,2,0.373455760911384,1,0,76,0.226171875
2,22,2,0.464891579978939,1,1,76,0.1958984375
4,66,2,0.959128049634273,1,1,76,0.09921875
2,7,1,0.45037867114479,1,1,76,0.1744140625
4,50,1,0.462369948530977,1,0,76,0.2486328125
3,42,1,0.451301690846776,1,1,75,0.1822265625
1,17,1,0.245311128734102,1,1,75,0.187109375
1,15,1,0.224515328326561,1,0,74,0.171484375
1,23,2,0.295415940663588,1,1,75,0.171484375
2,17,1,0.25660799054549,1,0,76,0.187109375
2,26,2,0.441396941736457,1,0,76,0.183203125
1,13,1,0.248950025967133,1,0,74,0.1783203125
4,58,2,0.602292149088498,1,1,76,0.09921875
4,72,2,0.592047665872997,1,0,76,0.2076171875
2,2,1,0.44049314611766,1,1,76,0.214453125
2,15,1,0.373684282937575,1,0,76,0.1666015625
1,12,1,0.293119007324094,1,0,74,0.17734375
2,16,1,0.248947630109797,1,1,76,0.159765625
2,20,2,0.27834250439264,1,0,76,0.1822265625
1,24,2,0.292925450388793,1,0,74,0.1568359375
4,62,2,0.409716663089966,1,1,76,0.163671875
4,43,1,0.234487238574729,1,1,76,0.2291015625
3,44,1,0.28049438758535,1,1,75,0.13046875
3,66,2,0.41653966755257,1,0,74,0.226171875
1,36,2,0.254027786227198,1,0,74,0.09921875
1,1,1,0.309883504843128,1,0,74,0.20078125
3,71,2,0.304256244810858,1,0,74,0.155859375
2,13,1,0.342576987452048,1,0,76,0.214453125
2,12,1,0.230943906952234,1,0,76,0.144140625
1,27,2,0.351727322542502,1,0,74,0.187109375
1,4,1,0.334759736903834,1,1,75,0.2486328125
2,14,1,0.337582094509344,1,1,76,0.1646484375
3,49,1,0.318008183980965,1,1,75,0.2154296875
3,50,1,0.241465563278325,1,1,75,0.175390625
1,30,2,0.28117091259719,1,0,74,0.1763671875
3,68,2,0.363199706426713,1,1,75,0.155859375
3,69,2,0.559045266905741,1,0,74,0.1822265625
2,1,1,0.320746211379628,1,1,76,0.1998046875
2,32,2,0.327268915115383,1,1,76,0.17734375
4,41,1,0.488939631478388,1,0,76,0.1314453125
4,57,2,0.826175859184332,1,0,76,0.206640625
1,11,1,0.406436629503332,1,1,75,0.1900390625
3,51,1,0.256881543748023,1,0,74,0.1275390625
1,5,1,0.331574465332778,1,1,75,0.1861328125
3,45,1,0.308850969818195,1,0,74,0.1958984375
3,63,2,0.34315928534761,1,1,75,0.1783203125
2,9,1,0.330435634338755,1,0,76,0.22421875
3,65,2,0.447499638941736,1,1,75,0.2017578125
2,31,2,0.401956574769429,1,0,76,0.1783203125
3,62,2,0.536765482733244,1,1,75,0.20859375
2,33,2,0.324723695791363,1,0,76,0.159765625
3,59,2,0.284647511000912,1,1,75,0.218359375
1,9,1,0.30203667801743,1,1,75,0.1939453125
3,70,2,0.426045415559202,1,1,75,0.09921875
3,55,2,0.317212020338957,1,0,74,0.09921875
1,18,1,0.256801639533478,1,1,75,0.09921875
4,56,2,0.330726237190902,1,0,76,0.2046875
4,47,1,0.415885133181291,1,0,76,0.1978515625
4,70,2,0.426884913622416,1,1,76,0.18515625
4,61,2,0.308299365271523,1,1,76,0.16953125
1,3,1,0.225274317612275,1,0,74,0.2486328125
1,2,1,0.245309434467345,1,0,74,0.2486328125
2,28,1,0.194723746792988,0,0,76,0.105078125
2,24,2,0.636890343486812,1,1,76,0.1685546875
2,34,2,0.32126173873894,1,1,76,0.17734375
3,58,1,0.660263116418719,0,0,74,0.191015625
1,6,1,0.292724170981273,1,0,74,0.1958984375
3,43,1,0.237745104881469,1,0,74,0.175390625
3,39,1,0.237445274369747,1,0,74,0.1939453125
2,30,2,0.294319645472569,1,0,76,0.1880859375
2,29,2,0.374434318234307,1,0,76,0.09921875
4,59,1,0.736834557074872,0,0,76,0.21640625
1,20,2,0.339947691685666,1,1,75,0.1841796875
1,22,2,0.280825396588625,1,0,74,0.1109375
3,41,1,0.485556135653496,1,1,75,0.18515625
4,68,2,0.290876312917135,1,1,76,0.1919921875
2,10,1,0.272765564834117,1,0,76,0.1900390625
3,57,2,0.335624425059905,1,0,74,0.1724609375
3,48,1,0.329017102518264,1,0,74,0.198828125
4,40,1,0.348884800422638,1,0,76,0.09921875
4,65,2,0.38379336412163,1,1,76,0.1568359375
3,64,2,0.344206770226265,1,1,75,0.2486328125
4,54,1,0.273414844738909,1,0,76,0.2212890625
1,29,2,0.314284210166988,1,0,74,0.16953125
4,42,1,0.560291224829598,1,0,76,0.165625
1,19,2,0.262465820155739,1,1,75,0.198828125
3,61,2,0.210254128843189,1,1,75,0.1763671875
2,11,1,0.420400767519823,1,1,76,0.2291015625
4,67,2,0.314880288598033,1,0,76,0.09921875
3,60,2,0.341201849761092,1,0,74,0.1666015625
4,48,1,0.541324680380967,1,1,76,0.179296875
4,44,1,0.400188720436745,1,0,76,0.20078125
2,27,2,0.445819174947246,1,1,76,0.1958984375
2,19,2,0.538927912176405,1,0,76,0.1666015625
2,8,1,0.358335296917176,1,1,76,0.1548828125
3,56,2,0.3466489577213,1,0,74,0.132421875
3,53,1,0.413973962775344,1,0,74,0.2056640625
1,8,1,0.347116100200765,1,1,75,0.2154296875
3,46,1,0.308526120881652,1,1,75,0.179296875
2,35,2,0.732905360514451,1,0,76,0.09921875
4,69,2,0.609639560262622,1,0,76,0.09921875
2,5,1,0.55450980889691,1,0,76,0.2154296875
4,71,2,0.402132768577758,1,1,76,0.18515625
1,35,2,0.501210413148328,1,1,75,0.2134765625
1,16,1,0.414097726360524,1,1,75,0.2310546875
1,32,2,0.393680225155549,1,1,75,0.13046875
4,37,1,0.344034355553958,1,0,76,0.1939453125
1,34,2,0.257197294396974,1,0,74,0.09921875
4,60,2,0.884518537730401,1,1,76,0.1646484375
1,10,1,0.361677719830368,1,0,74,0.228125
2,4,2,0.109678851829813,0,1,76,0.1919921875
4,53,1,0.41008129371312,1,0,76,0.20078125
1,14,1,0.512890679355223,1,0,74,0.2330078125
2,23,2,0.359345017804117,1,1,76,0.167578125
3,54,1,0.333217904246339,1,0,74,0.2486328125
2,6,1,0.38761220444394,1,1,76,0.1998046875
4,39,1,0.335102468940022,1,1,76,0.15
1,26,2,0.299705222434568,1,1,75,0.194921875
3,72,2,0.513210851020631,1,0,74,0.1802734375
4,45,1,0.324998236693318,1,0,76,0.1802734375
3,67,2,0.463619613440642,1,1,75,0.1626953125
2,36,2,0.353931750400079,1,1,76,0.09921875
4,38,1,0.575342716487285,1,0,76,0.1587890625
4,46,1,0.545709338682173,1,1,76,0.1900390625
3,47,1,0.368214634510878,1,1,75,0.1734375
3,38,1,0.356953158246142,1,0,74,0.2046875
2,18,1,0.254455144532585,1,1,76,0.1353515625
1,31,2,0.382578338387248,1,0,74,0.1490234375
2,14,1,0.503213250610315,1,1,76,0.2193359375
3,63,2,0.35643852155863,1,1,75,0.1744140625
2,12,1,0.436002764068689,1,1,76,0.2212890625
3,65,2,0.259477518930908,1,0,74,0.165625
3,48,1,0.353919345679969,1,1,75,0.20859375
3,59,2,0.305376707561663,1,1,75,0.1880859375
2,6,1,0.313458826017268,1,1,76,0.151953125
3,55,2,0.279053688483145,1,1,75,0.1666015625
2,7,1,0.239583093405599,1,0,76,0.2037109375
2,10,1,0.475714932748815,1,0,76,0.2046875
4,67,2,0.184816502308422,1,1,76,0.1861328125
4,49,1,0.358990440827256,1,0,76,0.2486328125
3,43,1,0.369545718773225,1,0,74,0.171484375
3,72,1,0.631904225405378,0,0,74,0.18515625
2,15,1,0.246109757895283,1,0,76,0.187109375
1,26,2,0.268114277184395,1,1,75,0.179296875
2,11,1,0.282489042309862,1,0,76,0.2486328125
4,70,2,0.373211836234077,1,1,76,0.1802734375
3,58,2,0.361237314922619,1,1,75,0.179296875
2,30,2,0.260664045653357,1,1,76,0.159765625
2,13,1,0.412675355693864,1,1,76,0.22421875
2,22,2,0.281072523207513,1,0,76,0.2134765625
3,47,1,0.288950150363235,1,0,74,0.187109375
1,21,2,0.399642967455293,1,1,75,0.1197265625
